Model,RMSE Mean,RMSE Std,Baseline RMSE,Improvement (Raw),Percentage Decrease (%),Std Devs above Baseline,Best Params
Lasso (Linear),3964.466656479302,1363.3998667908352,14956.487166922167,10992.020510442864,73.49333027044523,8.06221327886428,{'model__alpha': 100.0}
Ridge (Linear),4324.5330860222875,917.5582077951424,14956.487166922167,10631.954080899879,71.08590381044525,11.587225737370996,{'model__alpha': 100.0}
RandomForest (Non-linear),4754.574923135684,764.216696024106,14956.487166922167,10201.912243786483,68.21061743929468,13.349501910731194,"{'model__max_depth': 20, 'model__n_estimators': 100}"
XGBoost (Non-linear),4903.387660910441,1413.728834136504,14956.487166922167,10053.099506011726,67.21564625312023,7.111052178653547,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100}"
GaussianProcess (RBF kernel),10365.516661499469,1915.3372322790403,14956.487166922167,4590.970505422698,30.695513285874434,2.3969515279353435,"{'model__alpha': 0.01, 'model__kernel': 1**2 * RBF(length_scale=2) + WhiteKernel(noise_level=1)}"
